0.0
-0.4307272992954576;0.43072729929545744
-0.6744897501960816;0.0;0.6744897501960816
-0.8416212335729143;-0.2533471031357997;0.2533471031358;0.8416212335729144
-0.967421566101701;-0.4307272992954576;0.0;0.43072729929545744;0.9674215661017005
-1.0675705238781417;-0.5659488219328631;-0.18001236979270507;0.1800123697927049;0.5659488219328628;1.0675705238781414
-1.150349380376008;-0.6744897501960816;-0.31863936396437514;0.0;0.31863936396437514;0.6744897501960816;1.150349380376008
-1.2206403488473498;-0.764709673786387;-0.4307272992954576;-0.1397102988818621;0.1397102988818621;0.43072729929545744;0.7647096737863868;1.2206403488473494
-1.2815515655446008;-0.8416212335729143;-0.5244005127080407;-0.2533471031357997;0.0;0.2533471031358;0.5244005127080409;0.8416212335729144;1.2815515655446008
-1.3351777361189365;-0.9084578685373852;-0.604585346583237;-0.34875569551704466;-0.11418529432142822;0.11418529432142822;0.34875569551704466;0.604585346583237;0.9084578685373855;1.3351777361189372
-1.3829941271006383;-0.967421566101701;-0.6744897501960816;-0.4307272992954576;-0.2104283942479248;0.0;0.21042839424792453;0.43072729929545744;0.6744897501960816;0.9674215661017005;1.382994127100638
-1.426076872272847;-1.0200762327862014;-0.7363159173761296;-0.5024022233733554;-0.29338123212119327;-0.09655861528963908;0.09655861528963935;0.29338123212119344;0.5024022233733554;0.7363159173761297;1.0200762327862016;1.426076872272847
-1.4652337926855226;-1.0675705238781417;-0.7916386077433745;-0.5659488219328631;-0.3661063568005698;-0.18001236979270507;0.0;0.1800123697927049;0.3661063568005695;0.5659488219328628;0.7916386077433745;1.0675705238781414;1.465233792685522
-1.501085946044025;-1.1107716166367856;-0.8416212335729143;-0.6229257232100875;-0.4307272992954576;-0.2533471031357997;-0.08365173390712906;0.08365173390712906;0.2533471031357997;0.43072729929545744;0.6229257232100874;0.8416212335729144;1.1107716166367856;1.501085946044025
-1.534120544352546;-1.150349380376008;-0.8871465590188761;-0.6744897501960816;-0.48877641111466946;-0.31863936396437514;-0.1573106846101707;0.0;0.1573106846101707;0.31863936396437514;0.48877641111466946;0.6744897501960816;0.8871465590188761;1.150349380376008;1.534120544352546
-1.5647264713617988;-1.186831432755818;-0.928899491647271;-0.7215222839823432;-0.5413950851290877;-0.377391943828554;-0.22300783094036675;-0.07379127380827269;0.07379127380827269;0.22300783094036675;0.377391943828554;0.5413950851290875;0.7215222839823431;0.9288994916472707;1.186831432755818;1.5647264713617988
-1.5932188180230502;-1.2206403488473498;-0.967421566101701;-0.764709673786387;-0.5894557978497782;-0.4307272992954576;-0.28221614706250825;-0.1397102988818621;0.0;0.1397102988818621;0.28221614706250797;0.43072729929545744;0.5894557978497782;0.7647096737863868;0.9674215661017005;1.2206403488473494;1.5932188180230502
-1.6198562586382699;-1.2521195202652193;-1.003147967662534;-0.8045963803603003;-0.6336400007797008;-0.47950565333095013;-0.33603814037182317;-0.19920132478926694;-0.06601181237584072;0.06601181237584058;0.19920132478926694;0.33603814037182306;0.4795056533309498;0.6336400007797007;0.8045963803603003;1.0031479676625334;1.252119520265219;1.6198562586382694
-1.644853626951473;-1.2815515655446008;-1.0364333894937894;-0.8416212335729143;-0.6744897501960816;-0.5244005127080407;-0.3853204664075676;-0.2533471031357997;-0.125661346855074;0.0;0.12566134685507413;0.2533471031358;0.38532046640756773;0.5244005127080409;0.6744897501960816;0.8416212335729144;1.03643338949379;1.2815515655446008;1.6448536269514737
-1.6683911939470795;-1.3091717167857775;-1.0675705238781417;-0.8761428492468409;-0.712443032389489;-0.5659488219328631;-0.4307272992954576;-0.30298044805620655;-0.18001236979270507;-0.05971709978532289;0.059717099785322615;0.1800123697927049;0.30298044805620655;0.43072729929545744;0.5659488219328628;0.7124430323894889;0.8761428492468409;1.0675705238781414;1.3091717167857764;1.6683911939470788
-1.6906216295848981;-1.3351777361189365;-1.096803562093513;-0.9084578685373852;-0.7478585947633023;-0.604585346583237;-0.47278912099226733;-0.34875569551704466;-0.229884117579232;-0.11418529432142822;0.0;0.11418529432142822;0.22988411757923213;0.34875569551704466;0.4727891209922675;0.604585346583237;0.7478585947633023;0.9084578685373855;1.096803562093513;1.3351777361189372;1.6906216295848984
-1.7116753065097288;-1.3597373839386055;-1.124338231568639;-0.9388143168769034;-0.7810338115227088;-0.6406668899191048;-0.5119362138713294;-0.3911962581894717;-0.27592106310796;-0.164210777079331;-0.05451891484810106;0.05451891484810106;0.16421077707933085;0.27592106310796;0.3911962581894717;0.5119362138713294;0.6406668899191046;0.7810338115227085;0.9388143168769034;1.124338231568639;1.359737383938605;1.7116753065097288
-1.731664396122245;-1.3829941271006383;-1.150349380376008;-0.967421566101701;-0.8122178014999131;-0.6744897501960816;-0.5485222826980979;-0.4307272992954576;-0.31863936396437514;-0.2104283942479248;-0.10463345561407539;0.0;0.10463345561407525;0.21042839424792453;0.31863936396437514;0.43072729929545744;0.5485222826980977;0.6744897501960816;0.812217801499913;0.9674215661017005;1.150349380376008;1.382994127100638;1.7316643961222442
-1.75068607125217;-1.4050715603096322;-1.1749867920660901;-0.9944578832097528;-0.8416212335729143;-0.7063025628400874;-0.5828415072712161;-0.4676987991145083;-0.35845879325119384;-0.2533471031357997;-0.15096921549677722;-0.050153583464733656;0.050153583464733656;0.15096921549677736;0.2533471031357997;0.35845879325119384;0.46769879911450835;0.5828415072712161;0.7063025628400874;0.8416212335729144;0.9944578832097528;1.1749867920660901;1.4050715603096327;1.7506860712521692
-1.7688250385187063;-1.426076872272847;-1.1983797023069247;-1.0200762327862014;-0.8694237732888861;-0.7363159173761296;-0.6151411045959732;-0.5024022233733554;-0.39572529581448734;-0.29338123212119327;-0.19402814242392613;-0.09655861528963908;0.0;0.09655861528963935;0.1940281424239264;0.29338123212119344;0.39572529581448734;0.5024022233733554;0.6151411045959734;0.7363159173761297;0.8694237732888861;1.0200762327862016;1.198379702306925;1.426076872272847;1.7688250385187063
-1.786155561261077;-1.4461035929181751;-1.2206403488473498;-1.044408794872596;-0.8957798188835894;-0.764709673786387;-0.645630749275982;-0.5350828150863223;-0.4307272992954576;-0.33087257172641926;-0.23421919391461962;-0.1397102988818621;-0.04643572477052713;0.046435724770526994;0.1397102988818621;0.23421919391461946;0.33087257172641893;0.43072729929545744;0.5350828150863223;0.6456307492759817;0.7647096737863868;0.8957798188835892;1.044408794872596;1.2206403488473494;1.4461035929181743;1.7861555612610764
